(29338, 6, -20, -26, -16, -17, -11, 127, -9, -15, -21, -22, -20, -22, 11)
(41595, 11, -13, -18, -17, -28, -29, -22, -23, -16, -12, -9, 127, -11, 16)
(41596, 12, -16, -18, -25, -34, -24, -28, -24, -24, -19, -18, -9, 127, 16)
(41597, 1, 127, -8, -24, -18, -25, -25, -27, -24, -21, -23, -15, -15, 21)
(41598, 2, -9, 127, -8, -17, -19, -25, -19, -35, -19, -28, -19, -15, 21)
(41599, 3, -21, -12, 127, -9, -17, -16, -25, -27, -28, -24, -21, -26, 21)
(41600, 4, -20, -17, -9, 127, -9, -17, -24, -24, -23, -19, -28, -31, 21)
(41601, 5, -21, -19, -16, -13, 127, -13, -19, -19, -26, -22, -33, -24, 21)
(41602, 6, -21, -30, -18, -18, -12, 127, -9, -19, -19, -30, -25, -28, 21)
(41603, 7, -22, -24, -27, -23, -19, -8, 127, -9, -19, -18, -25, -22, 21)
(41604, 8, -19, -19, -20, -21, -21, -16, -10, 127, -8, -16, -19, -22, 21)
(41605, 9, -17, -17, -22, -25, -19, -23, -18, -9, 127, -13, -14, -17, 21)
(41606, 10, -20, -28, -21, -30, -21, -21, -19, -18, -12, 127, -11, -16, 21)
(41607, 11, -12, -18, -21, -21, -21, -18, -23, -18, -12, -8, 127, -7, 21)
(41608, 12, -13, -18, -25, -23, -20, -22, -21, -20, -25, -19, -11, 127, 21)
(41609, 1, 127, -10, -19, -23, -21, -21, -23, -20, -18, -21, -14, -12, 26)
(41610, 2, -12, 127, -9, -18, -17, -30, -23, -19, -16, -28, -19, -15, 26)
(41611, 3, -28, -14, 127, -13, -18, -19, -29, -22, -24, -24, -25, -25, 26)
(41612, 4, -19, -14, -11, 127, -11, -15, -21, -19, -23, -28, -22, -19, 26)
(41613, 5, -29, -18, -14, -13, 127, -13, -21, -21, -20, -22, -25, -20, 26)
(41614, 6, -25, -20, -18, -17, -13, 127, -9, -16, -24, -21, -20, -21, 26)
(41615, 7, -23, -23, -25, -21, -17, -9, 127, -9, -17, -18, -25, -20, 26)
(41616, 8, -21, -19, -19, -25, -21, -15, -12, 127, -9, -17, -19, -19, 26)
(41617, 9, -23, -18, -21, -21, -22, -20, -15, -10, 127, -12, -14, -24, 26)
(41618, 10, -18, -21, -24, -22, -25, -22, -20, -16, -15, 127, -11, -17, 26)
(41619, 11, -15, -19, -19, -22, -26, -19, -24, -17, -13, -8, 127, -8, 26)
(41620, 12, -10, -17, -24, -23, -21, -23, -24, -21, -25, -19, -15, 127, 26)
