(25290, 3, 127, -66, 127, -77, -78, -76, -76, -75, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(25312, 7, -72, -73, -68, -69, 127, -75, 127, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(38978, 1, 127, -75, -72, 127, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(38981, 4, -79, -72, -67, 127, -73, -68, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(38997, 2, -61, 127, -69, -70, -73, -88, -68, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(39407, 1, 127, -75, -72, 127, 127, -75, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39410, 4, -79, -72, -67, 127, 127, -69, 127, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39450, 8, -67, -64, -66, -75, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39463, 3, -78, -63, 127, -74, -71, 127, 127, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39466, 6, -68, -85, -74, -66, -68, 127, 127, -68, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39468, 8, -64, -66, -69, -69, -66, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39479, 1, 127, -75, -72, 127, -78, 127, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39482, 4, -79, -72, -67, 127, -73, -69, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39522, 8, -67, -64, -66, -75, -64, -69, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39538, 6, -69, -85, -74, -66, -67, 127, 127, -69, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39540, 8, -64, -66, -69, -69, -66, -75, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39551, 1, 127, -75, -72, -77, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39554, 4, -79, -72, -67, 127, -72, -69, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39570, 2, -61, 127, -69, -70, -72, -88, -68, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(39592, 6, -66, -76, -71, -65, -66, 127, 127, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39593, 7, -72, -68, -86, -69, -76, -75, 127, -71, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39610, 6, -69, 127, -74, -66, -68, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39612, 8, -64, -66, -69, -69, -66, -75, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39623, 1, 127, -75, -72, -77, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39626, 4, -79, -72, -67, 127, -73, -68, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39642, 2, -61, 127, -69, -70, -72, -88, -68, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(39662, 5, 127, -71, -80, -64, 127, -68, -78, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39663, 6, 127, -76, -71, -64, -66, 127, -61, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39664, 7, 127, -67, -85, -69, -76, -75, 127, -70, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39681, 6, -68, -85, -74, -66, -67, 127, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39683, 8, -64, -66, -69, -69, -66, -75, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
