(42075, 2, -65, 127, -66, -72, -67, -79, -64, -67, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(42098, 7, -74, -73, -77, -68, -78, -69, 127, -80, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(48128, 1, 127, -81, -72, -77, -84, -78, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(48131, 4, -75, -74, -65, 127, -70, -71, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(48170, 7, -73, 127, 127, -72, -78, -73, 127, -70, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(48183, 2, -64, 127, -64, -69, -74, -76, -67, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(48184, 3, -77, -65, 127, -71, -72, -72, -89, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(48185, 4, -79, -71, -67, 127, -70, -71, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(48187, 6, -75, -80, -72, -66, -66, 127, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(48200, 1, 127, -81, -72, -77, -85, -78, -72, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(48203, 4, -75, -74, -65, 127, -71, -70, -77, -75, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(48221, 4, -71, -64, -62, 127, -66, -77, -80, -80, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(48223, 6, -73, -78, -70, -64, -63, 127, -72, -70, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(48225, 8, -62, -66, -66, -88, -75, -68, -61, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(48239, 5, 127, -73, -80, -61, 127, -69, -75, -73, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(48240, 6, 127, -88, -72, -68, -63, 127, -63, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(48241, 7, 127, -69, -80, -72, -78, -73, 127, -70, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(48253, 1, 127, -71, -69, -67, -76, -74, -70, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
