24079, 4, -28, -15, -13, 127, -13, -19, -26, -21, 11
24083, 8, -13, -21, -20, -22, -17, -18, -17, 127, 11
28528, 5, -34, -25, -18, -17, 127, -17, -23, -23, 11
28529, 6, -27, -22, -20, -18, -11, 127, -17, -20, 11
28530, 7, -19, -21, -24, -21, -21, -16, 127, -14, 11
28531, 8, -13, -29, -34, -22, -18, -17, -18, 127, 11
28532, 1, 127, -14, -19, -34, -34, -27, -21, -13, 16
28533, 2, -15, 127, -13, -16, -22, -20, -19, -28, 16
28534, 3, -19, -15, 127, -16, -19, -21, -27, -36, 16
28535, 4, -24, -22, -14, 127, -14, -16, -19, -20, 16
28536, 5, -38, -23, -28, -16, 127, -13, -22, -19, 16
28537, 6, -31, -20, -24, -18, -14, 127, -17, -18, 16
28538, 7, -20, -36, -23, -19, -27, -15, 127, -17, 16
28539, 8, -14, -30, -34, -21, -27, -19, -15, 127, 16
28540, 1, 127, -17, -18, -26, -38, -30, -21, -15, 21
28541, 2, -16, 127, -13, -22, -21, -19, -36, -28, 21
28542, 3, -20, -15, 127, -18, -28, -26, -25, -36, 21
28543, 4, -35, -21, -13, 127, -13, -16, -17, -19, 21
28544, 5, -34, -21, -24, -13, 127, -15, -28, -28, 21
28545, 6, -30, -20, -38, -22, -15, 127, -15, -20, 21
28546, 7, -21, -28, -29, -24, -19, -19, 127, -15, 21
28547, 8, -15, -34, -35, -19, -25, -19, -15, 127, 21
28548, 1, 127, -18, -19, -37, -34, -30, -22, -15, 26
28549, 2, -16, 127, -13, -23, -19, -19, -27, -34, 26
28550, 3, -23, -19, 127, -17, -24, -41, -31, -37, 26
28551, 4, -27, -17, -14, 127, -11, -19, -22, -17, 26
28552, 5, -42, -24, -23, -15, 127, -15, -19, -26, 26
28553, 6, -27, -26, -27, -24, -17, 127, -19, -19, 26
28554, 7, -23, -40, -25, -27, -21, -16, 127, -15, 26
28555, 8, -19, -31, -30, -26, -22, -19, -15, 127, 26
28556, 1, 127, -18, -21, -29, -42, -27, -24, -19, 11
28557, 2, -13, 127, -17, -18, -22, -25, -40, -30, 11
28558, 3, -21, -16, 127, -18, -24, -28, -28, -32, 11
28559, 4, -28, -15, -13, 127, -12, -21, -25, -24, 11
28560, 5, -34, -26, -18, -18, 127, -17, -23, -23, 11
28561, 6, -27, -23, -19, -18, -11, 127, -16, -20, 11
28562, 7, -19, -21, -25, -21, -20, -16, 127, -14, 11
28563, 8, -13, -31, -35, -21, -18, -18, -17, 127, 11
28564, 1, 127, -15, -19, -31, -33, -27, -20, -13, 16
28565, 2, -16, 127, -13, -16, -23, -21, -20, -30, 16
28566, 3, -19, -15, 127, -16, -19, -21, -28, -37, 16
28567, 4, -23, -21, -13, 127, -15, -16, -19, -19, 16
28568, 5, -36, -24, -27, -16, 127, -12, -21, -19, 16
28569, 6, -28, -20, -23, -17, -13, 127, -17, -18, 16
28570, 7, -20, -39, -23, -19, -28, -16, 127, -17, 16
28571, 8, -14, -31, -32, -22, -28, -19, -15, 127, 16
28572, 1, 127, -18, -18, -25, -36, -28, -21, -15, 21
28573, 2, -15, 127, -13, -21, -21, -19, -38, -30, 21
28574, 3, -20, -16, 127, -17, -28, -24, -25, -34, 21
28575, 4, -30, -23, -13, 127, -13, -15, -17, -20, 21
28576, 5, -33, -21, -24, -14, 127, -15, -30, -29, 21
28577, 6, -31, -20, -34, -19, -15, 127, -16, -19, 21
28578, 7, -21, -29, -29, -26, -19, -19, 127, -15, 21
28579, 8, -15, -41, -34, -19, -25, -19, -15, 127, 21
28580, 1, 127, -17, -19, -33, -32, -31, -21, -15, 26
28581, 2, -16, 127, -13, -24, -19, -19, -28, -41, 26
28582, 3, -23, -19, 127, -16, -26, -35, -32, -36, 26
28583, 4, -26, -17, -13, 127, -11, -17, -24, -18, 26
28584, 5, -36, -24, -24, -15, 127, -15, -19, -26, 26
28585, 6, -25, -26, -25, -21, -18, 127, -20, -19, 26
28586, 7, -21, -38, -26, -27, -21, -16, 127, -15, 26
28587, 8, -17, -33, -30, -26, -24, -19, -15, 127, 26
28588, 1, 127, -18, -21, -28, -36, -26, -22, -17, 11
28589, 2, -13, 127, -17, -18, -22, -24, -37, -32, 11
28590, 3, -21, -16, 127, -18, -26, -27, -28, -32, 11
28591, 4, -28, -15, -13, 127, -12, -19, -25, -24, 11
28592, 5, -33, -25, -18, -17, 127, -18, -22, -24, 11
28593, 6, -26, -23, -19, -19, -11, 127, -17, -20, 11
28594, 7, -19, -21, -27, -23, -22, -15, 127, -14, 11
28595, 8, -12, -33, -35, -20, -18, -19, -17, 127, 11
28596, 1, 127, -15, -19, -30, -33, -27, -19, -12, 16
28597, 2, -15, 127, -13, -15, -22, -21, -21, -31, 16
28598, 3, -20, -16, 127, -16, -19, -21, -30, -37, 16
28599, 4, -23, -20, -13, 127, -14, -18, -21, -18, 16
28600, 5, -36, -23, -26, -17, 127, -12, -24, -19, 16
28601, 6, -27, -21, -22, -18, -13, 127, -16, -19, 16
28602, 7, -20, -38, -24, -21, -34, -16, 127, -16, 16
28603, 8, -13, -34, -29, -22, -28, -19, -15, 127, 16
28604, 1, 127, -17, -19, -26, -36, -27, -21, -14, 21
28605, 2, -15, 127, -13, -21, -21, -19, -36, -33, 21
28606, 3, -21, -16, 127, -17, -27, -24, -26, -31, 21
28607, 4, -30, -23, -13, 127, -14, -16, -19, -21, 21
28608, 5, -30, -21, -24, -14, 127, -14, -34, -28, 21
28609, 6, -31, -21, -28, -20, -13, 127, -17, -19, 21
28610, 7, -19, -28, -31, -30, -19, -20, 127, -14, 21
28611, 8, -14, -43, -34, -20, -26, -19, -15, 127, 21
28612, 1, 127, -16, -19, -33, -30, -31, -21, -15, 26
28613, 2, -16, 127, -13, -24, -19, -19, -28, -41, 26
28614, 3, -22, -19, 127, -16, -26, -30, -34, -36, 26
28615, 4, -27, -16, -13, 127, -11, -18, -29, -18, 26
28616, 5, -33, -24, -24, -15, 127, -14, -20, -27, 26
28617, 6, -25, -26, -24, -21, -17, 127, -21, -19, 26
28618, 7, -20, -34, -27, -28, -21, -17, 127, -15, 26
28619, 8, -15, -33, -30, -26, -24, -19, -15, 127, 26
28620, 1, 127, -18, -21, -30, -32, -25, -21, -16, 11
28621, 2, -13, 127, -17, -18, -23, -25, -33, -32, 11
28622, 3, -21, -16, 127, -18, -24, -26, -28, -32, 11
28623, 4, -30, -15, -12, 127, -13, -19, -27, -24, 11
28624, 5, -34, -24, -17, -17, 127, -18, -22, -25, 11
28625, 6, -25, -24, -19, -19, -11, 127, -18, -20, 11
28626, 7, -19, -22, -28, -24, -24, -15, 127, -15, 11
28627, 8, -12, -33, -34, -20, -19, -19, -16, 127, 11
28628, 1, 127, -15, -20, -33, -34, -26, -20, -12, 16
28629, 2, -15, 127, -13, -15, -21, -22, -21, -31, 16
28630, 3, -20, -15, 127, -15, -18, -21, -30, -36, 16
28631, 4, -24, -20, -13, 127, -13, -17, -22, -18, 16
28632, 5, -36, -23, -26, -17, 127, -12, -25, -19, 16
28633, 6, -26, -21, -23, -19, -13, 127, -15, -19, 16
28634, 7, -20, -36, -25, -21, -29, -16, 127, -16, 16
28635, 8, -13, -34, -29, -22, -27, -19, -15, 127, 16
28636, 1, 127, -16, -19, -26, -35, -26, -21, -13, 21
28637, 2, -15, 127, -13, -20, -21, -19, -35, -33, 21
28638, 3, -21, -16, 127, -17, -27, -25, -27, -31, 21
28639, 4, -30, -23, -13, 127, -13, -17, -20, -21, 21
28640, 5, -30, -21, -24, -14, 127, -14, -30, -28, 21
28641, 6, -31, -21, -27, -21, -13, 127, -16, -19, 21
28642, 7, -19, -28, -33, -28, -20, -19, 127, -14, 21
28643, 8, -13, -40, -34, -20, -27, -19, -15, 127, 21
28644, 1, 127, -16, -19, -32, -30, -31, -20, -14, 26
28645, 2, -17, 127, -13, -24, -19, -19, -28, -39, 26
28646, 3, -22, -19, 127, -16, -25, -28, -36, -36, 26
28647, 4, -27, -16, -13, 127, -11, -19, -27, -18, 26
28648, 5, -31, -24, -23, -15, 127, -14, -21, -28, 26
28649, 6, -25, -27, -24, -21, -17, 127, -21, -19, 26
28650, 7, -19, -32, -27, -31, -21, -17, 127, -15, 26
28651, 8, -15, -33, -29, -26, -24, -19, -15, 127, 26
28652, 1, 127, -18, -21, -29, -31, -25, -21, -16, 11
28653, 2, -13, 127, -16, -18, -22, -25, -31, -33, 11
