(49684, 1, 127, -11, 16)
(49685, 2, -9, 127, 16)
(49686, 1, 127, -11, 21)
(49687, 2, -9, 127, 21)
(49688, 1, 127, -12, 26)
(49689, 2, -13, 127, 26)
(49690, 1, 127, -16, 11)
(49691, 2, -9, 127, 11)
(49692, 1, 127, -11, 16)
(49693, 2, -9, 127, 16)
(49694, 1, 127, -11, 21)
(49695, 2, -9, 127, 21)
(49696, 1, 127, -12, 26)
(49697, 2, -13, 127, 26)
(49698, 1, 127, -16, 11)
(49699, 2, -9, 127, 11)
(49700, 1, 127, -11, 16)
(49701, 2, -9, 127, 16)
(49702, 1, 127, -11, 21)
(49703, 2, -9, 127, 21)
(49704, 1, 127, -12, 26)
(49705, 2, -13, 127, 26)
(49706, 1, 127, -16, 11)
(49707, 2, -9, 127, 11)
(49708, 1, 127, -11, 16)
(49709, 2, -9, 127, 16)
(49710, 1, 127, -11, 21)
(49711, 2, -9, 127, 21)
(49712, 1, 127, -12, 26)
(49713, 2, -13, 127, 26)
(49714, 1, 127, -16, 11)
(49715, 2, -9, 127, 11)
(49716, 1, 127, -11, 16)
(49717, 2, -9, 127, 16)
(49718, 1, 127, -11, 21)
(49719, 2, -9, 127, 21)
(49720, 1, 127, -12, 26)
(49721, 2, -13, 127, 26)
(49722, 1, 127, -16, 11)
(49723, 2, -9, 127, 11)
(49724, 1, 127, -11, 16)
(49725, 2, -9, 127, 16)
(49726, 1, 127, -11, 21)
(49727, 2, -9, 127, 21)
(49728, 1, 127, -12, 26)
(49729, 2, -13, 127, 26)
(49730, 1, 127, -16, 11)
(49731, 2, -9, 127, 11)
(49732, 1, 127, -11, 16)
(49733, 2, -9, 127, 16)
(49734, 1, 127, -11, 21)
(49735, 2, -9, 127, 21)
(49736, 1, 127, -12, 26)
(49737, 2, -13, 127, 26)
(49738, 1, 127, -16, 11)
(49739, 2, -9, 127, 11)
(49740, 1, 127, -11, 16)
(49741, 2, -9, 127, 16)
(49742, 1, 127, -11, 21)
(49743, 2, -9, 127, 21)
(49744, 1, 127, -12, 26)
(49745, 2, -13, 127, 26)
(49746, 1, 127, -16, 11)
(49747, 2, -9, 127, 11)
(49748, 1, 127, -11, 16)
(49749, 2, -9, 127, 16)
(49750, 1, 127, -11, 21)
(49751, 2, -9, 127, 21)
(49752, 1, 127, -12, 26)
(49753, 2, -13, 127, 26)
(49754, 1, 127, -16, 11)
(49755, 2, -9, 127, 11)
(49756, 1, 127, -11, 16)
(49757, 2, -9, 127, 16)
(49758, 1, 127, -11, 21)
(49759, 2, -9, 127, 21)
(49760, 1, 127, -12, 26)
(49761, 2, -13, 127, 26)
(49762, 1, 127, -16, 11)
(49763, 2, -9, 127, 11)
(49764, 1, 127, -11, 16)
(49765, 2, -9, 127, 16)
(49766, 1, 127, -11, 21)
(49767, 2, -9, 127, 21)
(49768, 1, 127, -12, 26)
(49769, 2, -13, 127, 26)
(49770, 1, 127, -16, 11)
(49771, 2, -9, 127, 11)
(49772, 1, 127, -11, 16)
(49773, 2, -9, 127, 16)
(49774, 1, 127, -11, 21)
(49775, 2, -9, 127, 21)
(49776, 1, 127, -12, 26)
(49777, 2, -13, 127, 26)
(49778, 1, 127, -16, 11)
(49779, 2, -9, 127, 11)
(49780, 1, 127, -11, 16)
(49781, 2, -9, 127, 16)
(49782, 1, 127, -11, 21)
(49783, 2, -9, 127, 21)
(49784, 1, 127, -12, 26)
(49785, 2, -13, 127, 26)
(49786, 1, 127, -16, 11)
(49787, 2, -9, 127, 11)
(49788, 1, 127, -11, 16)
(49789, 2, -9, 127, 16)
(49790, 1, 127, -11, 21)
(49791, 2, -9, 127, 21)
(49792, 1, 127, -12, 26)
(49793, 2, -13, 127, 26)
(49794, 1, 127, -16, 11)
(49795, 2, -9, 127, 11)
(49796, 1, 127, -11, 16)
(49797, 2, -9, 127, 16)
(49798, 1, 127, -11, 21)
(49799, 2, -9, 127, 21)
(49800, 1, 127, -12, 26)
(49801, 2, -13, 127, 26)
(49802, 1, 127, -16, 11)
(49803, 2, -9, 127, 11)
(49804, 1, 127, -11, 16)
(49805, 2, -9, 127, 16)
(49806, 1, 127, -11, 21)
(49807, 2, -9, 127, 21)
(49808, 1, 127, -12, 26)
(49809, 2, -13, 127, 26)
(49810, 1, 127, -16, 11)
(49811, 2, -9, 127, 11)
(49812, 1, 127, -11, 16)
(49813, 2, -9, 127, 16)
(49814, 1, 127, -11, 21)
(49815, 2, -9, 127, 21)
(49816, 1, 127, -12, 26)
(49817, 2, -13, 127, 26)
(49818, 1, 127, -16, 11)
(49819, 2, -9, 127, 11)
(49820, 1, 127, -11, 16)
(49821, 2, -9, 127, 16)
(49822, 1, 127, -11, 21)
(49823, 2, -9, 127, 21)
(49824, 1, 127, -12, 26)
(49825, 2, -13, 127, 26)
(49826, 1, 127, -16, 11)
(49827, 2, -9, 127, 11)
(49828, 1, 127, -11, 16)
(49829, 2, -9, 127, 16)
(49830, 1, 127, -11, 21)
(49831, 2, -9, 127, 21)
(49832, 1, 127, -12, 26)
(49833, 2, -13, 127, 26)
(49834, 1, 127, -16, 11)
(49835, 2, -9, 127, 11)
(49836, 1, 127, -11, 16)
(49837, 2, -9, 127, 16)
(49838, 1, 127, -11, 21)
(49839, 2, -9, 127, 21)
(49840, 1, 127, -12, 26)
(49841, 2, -13, 127, 26)
(49842, 1, 127, -16, 11)
(49843, 2, -9, 127, 11)
(49844, 1, 127, -11, 16)
(49845, 2, -9, 127, 16)
(49846, 1, 127, -11, 21)
(49847, 2, -9, 127, 21)
(49848, 1, 127, -12, 26)
(49849, 2, -13, 127, 26)
(49850, 1, 127, -16, 11)
(49851, 2, -9, 127, 11)
(49852, 1, 127, -11, 16)
(49853, 2, -9, 127, 16)
(49854, 1, 127, -11, 21)
(49855, 2, -9, 127, 21)
(49856, 1, 127, -12, 26)
(49857, 2, -13, 127, 26)
(49858, 1, 127, -16, 11)
(49859, 2, -9, 127, 11)
(49860, 1, 127, -11, 16)
(49861, 2, -9, 127, 16)
(49862, 1, 127, -11, 21)
(49863, 2, -9, 127, 21)
(49864, 1, 127, -12, 26)
(49865, 2, -13, 127, 26)
(49866, 1, 127, -16, 11)
(49867, 2, -9, 127, 11)
(49868, 1, 127, -11, 16)
(49869, 2, -9, 127, 16)
(49870, 1, 127, -11, 21)
(49871, 2, -9, 127, 21)
(49872, 1, 127, -12, 26)
(49873, 2, -13, 127, 26)
(49874, 1, 127, -16, 11)
(49875, 2, -9, 127, 11)
(49876, 1, 127, -11, 16)
(49877, 2, -9, 127, 16)
(49878, 1, 127, -11, 21)
(49879, 2, -9, 127, 21)
(49880, 1, 127, -12, 26)
(49881, 2, -13, 127, 26)
(49882, 1, 127, -16, 11)
(49883, 2, -9, 127, 11)
(49884, 1, 127, -11, 16)
(49885, 2, -9, 127, 16)
(49886, 1, 127, -11, 21)
(49887, 2, -9, 127, 21)
(49888, 1, 127, -12, 26)
(49889, 2, -13, 127, 26)
(49890, 1, 127, -16, 11)
(49891, 2, -9, 127, 11)
(49892, 1, 127, -11, 16)
(49893, 2, -9, 127, 16)
(49894, 1, 127, -11, 21)
(49895, 2, -9, 127, 21)
(49896, 1, 127, -12, 26)
(49897, 2, -13, 127, 26)
(49898, 1, 127, -16, 11)
(49899, 2, -9, 127, 11)
(49900, 1, 127, -11, 16)
(49901, 2, -9, 127, 16)
(49902, 1, 127, -11, 21)
(49903, 2, -9, 127, 21)
(49904, 1, 127, -12, 26)
(49905, 2, -13, 127, 26)
(49906, 1, 127, -16, 11)
(49907, 2, -9, 127, 11)
(49908, 1, 127, -11, 16)
(49909, 2, -9, 127, 16)
