Xstep "Node 1, channel 11" "Node 1, channel 16" "Node 1, channel 21" "Node 1, channel 26" "Node 2, channel 11" "Node 2, channel 16" "Node 2, channel 21" "Node 2, channel 26"
"18 cm" -4 -4.6658130601793 -4.4980787704131 -3 -3.3934740882917 -3.2240717029449 -2.9183477425552 -3
"36 cm" -7.6636155606407 -7.9965635738832 -7 -7 -6.3333333333333 -6 -5 -6
"72 cm" -18.719435736677 -18.39375 -18.9375 -18.62630480167 -15.35625 -16.425 -15.964583333333 -16.057902973396
"108 cm" -19.09375 -19.48828125 -20.015625 -19.76171875 -17.6640625 -18.34375 -17.799479166667 -17.630859375
"180 cm" -26.092391304348 -26.971428571429 -26.211382113821 -26.670731707317 -24.429347826087 -24.275510204082 -24.406504065041 -23.191056910569
"252 cm" -30.271428571429 -27.146428571429 -26.438095238095 -26.636851520572 -21.007142857143 -21.939285714286 -22.859523809524 -24.153846153846
