(6505, 4, -57, -67, -75, 127, 21)
(6512, 3, -67, -72, 127, -66, 11)
(14478, 1, 127, -75, -82, -64, 11)
(14479, 2, -62, 127, -79, -74, 11)
(14480, 3, -58, -69, 127, -70, 11)
(14481, 4, -55, -59, -75, 127, 11)
(14482, 1, 127, -69, -68, -68, 16)
(14483, 2, -65, 127, -68, -65, 16)
(14484, 3, -62, -72, 127, -63, 16)
(14486, 1, 127, -74, -70, -69, 21)
(14487, 2, -70, 127, -68, -69, 21)
(14490, 1, 127, -73, -75, -65, 26)
(14491, 2, -74, 127, -70, -71, 26)
(14492, 3, -69, -72, 127, -73, 26)
(14493, 4, -56, -67, -76, 127, 26)
(14494, 1, 127, -75, -81, -64, 11)
(14495, 2, -61, 127, -78, -75, 11)
(14496, 3, -58, -69, 127, -71, 11)
(14497, 4, -55, -59, -75, 127, 11)
(14498, 1, 127, -70, -68, -68, 16)
(14499, 2, -66, 127, -68, -65, 16)
(14500, 3, -62, -72, 127, -63, 16)
(14502, 1, 127, -74, -69, -68, 21)
(14503, 2, -70, 127, -68, -70, 21)
(14506, 1, 127, -73, -75, -64, 26)
(14507, 2, -74, 127, -70, -71, 26)
(14508, 3, -69, -72, 127, -72, 26)
(14509, 4, -56, -67, -76, 127, 26)
(14510, 1, 127, -75, -82, -64, 11)
(14511, 2, -61, 127, -79, -75, 11)
(14512, 3, -58, -69, 127, -70, 11)
(14513, 4, -55, -59, -75, 127, 11)
(14514, 1, 127, -69, -68, -68, 16)
(14515, 2, -66, 127, -68, -64, 16)
(14516, 3, -62, -72, 127, -63, 16)
(14517, 4, -54, -60, -72, 127, 16)
(14518, 1, 127, -74, -70, -68, 21)
(14519, 2, -70, 127, -68, -69, 21)
(14522, 1, 127, -73, -75, -65, 26)
(14523, 2, -75, 127, -70, -71, 26)
(14524, 3, -69, -72, 127, -72, 26)
(14525, 4, -56, -67, -76, 127, 26)
(14526, 1, 127, -75, -81, -64, 11)
(14527, 2, -61, 127, -79, -74, 11)
(14528, 3, -58, -69, 127, -70, 11)
(14529, 4, -55, -59, -75, 127, 11)
(14530, 1, 127, -69, -68, -68, 16)
(14531, 2, -65, 127, -68, -65, 16)
(14532, 3, -63, -72, 127, -63, 16)
(14533, 4, -54, -60, -72, 127, 16)
(14534, 1, 127, -74, -70, -68, 21)
(14535, 2, -70, 127, -68, -69, 21)
(14538, 1, 127, -73, -75, -65, 26)
(14539, 2, -74, 127, -70, -71, 26)
(14540, 3, -69, -72, 127, -72, 26)
(14541, 4, -56, -67, -76, 127, 26)
(14542, 1, 127, -75, -81, -64, 11)
(14543, 2, -61, 127, -79, -75, 11)
(14544, 3, -58, -69, 127, -71, 11)
(14545, 4, -55, -59, -75, 127, 11)
(14546, 1, 127, -69, -68, -68, 16)
(14547, 2, -65, 127, -68, -64, 16)
(14548, 3, -62, -72, 127, -63, 16)
(14549, 4, -54, -60, -72, 127, 16)
(14550, 1, 127, -74, -70, -68, 21)
(14551, 2, -70, 127, -68, -69, 21)
(14554, 1, 127, -73, -75, -65, 26)
(14555, 2, -75, 127, -70, -71, 26)
(14556, 3, -69, -72, 127, -73, 26)
(14557, 4, -56, -67, -76, 127, 26)
(14558, 1, 127, -75, -81, -64, 11)
(14559, 2, -61, 127, -79, -75, 11)
(14560, 3, -58, -69, 127, -71, 11)
(14561, 4, -55, -59, -75, 127, 11)
(14562, 1, 127, -69, -68, -68, 16)
(14563, 2, -65, 127, -68, -65, 16)
(14564, 3, -63, -72, 127, -63, 16)
(14566, 1, 127, -75, -69, -68, 21)
(14567, 2, -70, 127, -68, -69, 21)
(14570, 1, 127, -73, -75, -65, 26)
(14571, 2, -75, 127, -71, -71, 26)
(14572, 3, -69, -72, 127, -72, 26)
(14573, 4, -56, -67, -76, 127, 26)
(14574, 1, 127, -75, -81, -64, 11)
(14575, 2, -62, 127, -79, -75, 11)
(14576, 3, -58, -69, 127, -71, 11)
(14577, 4, -55, -59, -75, 127, 11)
(14578, 1, 127, -69, -68, -68, 16)
(14579, 2, -65, 127, -68, -65, 16)
(14580, 3, -62, -72, 127, -62, 16)
(14581, 4, -54, -60, -72, 127, 16)
(14582, 1, 127, -74, -69, -68, 21)
(14583, 2, -70, 127, -68, -69, 21)
(14586, 1, 127, -73, -75, -65, 26)
