(27664, 1, 127, -22, 26)
(27665, 2, -17, 127, 26)
(27666, 1, 127, -19, 11)
(27667, 2, -33, 127, 11)
(27668, 1, 127, -34, 16)
(27669, 2, -25, 127, 16)
(27670, 1, 127, -27, 21)
(27671, 2, -20, 127, 21)
(27672, 1, 127, -22, 26)
(27673, 2, -17, 127, 26)
(27674, 1, 127, -19, 11)
(27675, 2, -33, 127, 11)
(27676, 1, 127, -34, 16)
(27677, 2, -24, 127, 16)
(27678, 1, 127, -27, 21)
(27679, 2, -20, 127, 21)
(27680, 1, 127, -22, 26)
(27681, 2, -17, 127, 26)
(27682, 1, 127, -19, 11)
(27683, 2, -33, 127, 11)
(27684, 1, 127, -34, 16)
(27685, 2, -25, 127, 16)
(27686, 1, 127, -27, 21)
(27687, 2, -19, 127, 21)
(27688, 1, 127, -22, 26)
(27689, 2, -17, 127, 26)
(27690, 1, 127, -19, 11)
(27691, 2, -34, 127, 11)
(27692, 1, 127, -34, 16)
(27693, 2, -24, 127, 16)
(27694, 1, 127, -27, 21)
(27695, 2, -20, 127, 21)
(27696, 1, 127, -22, 26)
(27697, 2, -17, 127, 26)
(27698, 1, 127, -19, 11)
(27699, 2, -34, 127, 11)
(27700, 1, 127, -34, 16)
(27701, 2, -24, 127, 16)
(27702, 1, 127, -27, 21)
(27703, 2, -19, 127, 21)
(27704, 1, 127, -22, 26)
(27705, 2, -17, 127, 26)
(27706, 1, 127, -19, 11)
(27707, 2, -34, 127, 11)
(27708, 1, 127, -34, 16)
(27709, 2, -25, 127, 16)
(27710, 1, 127, -27, 21)
(27711, 2, -19, 127, 21)
(27712, 1, 127, -22, 26)
(27713, 2, -17, 127, 26)
(27714, 1, 127, -19, 11)
(27715, 2, -33, 127, 11)
(27716, 1, 127, -34, 16)
(27717, 2, -24, 127, 16)
(27718, 1, 127, -27, 21)
(27719, 2, -19, 127, 21)
(27720, 1, 127, -22, 26)
(27721, 2, -17, 127, 26)
(27722, 1, 127, -19, 11)
(27723, 2, -33, 127, 11)
(27724, 1, 127, -34, 16)
(27725, 2, -24, 127, 16)
(27726, 1, 127, -27, 21)
(27727, 2, -19, 127, 21)
(27728, 1, 127, -22, 26)
(27729, 2, -17, 127, 26)
(27730, 1, 127, -19, 11)
(27731, 2, -33, 127, 11)
(27732, 1, 127, -34, 16)
(27733, 2, -24, 127, 16)
(27734, 1, 127, -27, 21)
(27735, 2, -20, 127, 21)
(27736, 1, 127, -22, 26)
(27737, 2, -17, 127, 26)
(27738, 1, 127, -19, 11)
(27739, 2, -33, 127, 11)
(27740, 1, 127, -34, 16)
(27741, 2, -24, 127, 16)
(27742, 1, 127, -27, 21)
(27743, 2, -20, 127, 21)
(27744, 1, 127, -22, 26)
(27745, 2, -17, 127, 26)
(27746, 1, 127, -19, 11)
(27747, 2, -33, 127, 11)
(27748, 1, 127, -34, 16)
(27749, 2, -24, 127, 16)
(27750, 1, 127, -27, 21)
(27751, 2, -20, 127, 21)
