(14078, 1, 127, -15, 21)
(14079, 2, -16, 127, 21)
(14080, 1, 127, -19, 26)
(14081, 2, -16, 127, 26)
(14082, 1, 127, -19, 11)
(14083, 2, -9, 127, 11)
(14084, 1, 127, -12, 16)
(14085, 2, -12, 127, 16)
(14086, 1, 127, -15, 21)
(14087, 2, -16, 127, 21)
(14088, 1, 127, -19, 26)
(14089, 2, -16, 127, 26)
(14090, 1, 127, -19, 11)
(14091, 2, -9, 127, 11)
(14092, 1, 127, -12, 16)
(14093, 2, -12, 127, 16)
(14094, 1, 127, -15, 21)
(14095, 2, -16, 127, 21)
(14096, 1, 127, -19, 26)
(14097, 2, -16, 127, 26)
(14098, 1, 127, -19, 11)
(14099, 2, -9, 127, 11)
(14100, 1, 127, -12, 16)
(14101, 2, -12, 127, 16)
(14102, 1, 127, -15, 21)
(14103, 2, -16, 127, 21)
(14104, 1, 127, -19, 26)
(14105, 2, -16, 127, 26)
(14106, 1, 127, -19, 11)
(14107, 2, -9, 127, 11)
(14108, 1, 127, -12, 16)
(14109, 2, -12, 127, 16)
(14110, 1, 127, -15, 21)
(14111, 2, -16, 127, 21)
(14112, 1, 127, -19, 26)
(14113, 2, -16, 127, 26)
(14114, 1, 127, -19, 11)
(14115, 2, -9, 127, 11)
(14116, 1, 127, -12, 16)
(14117, 2, -12, 127, 16)
(14118, 1, 127, -15, 21)
(14119, 2, -16, 127, 21)
(14120, 1, 127, -19, 26)
(14121, 2, -16, 127, 26)
(14122, 1, 127, -19, 11)
(14123, 2, -9, 127, 11)
(14124, 1, 127, -12, 16)
(14125, 2, -12, 127, 16)
(14126, 1, 127, -15, 21)
(14127, 2, -16, 127, 21)
(14128, 1, 127, -19, 26)
(14129, 2, -16, 127, 26)
(14130, 1, 127, -19, 11)
(14131, 2, -9, 127, 11)
(14132, 1, 127, -12, 16)
(14133, 2, -12, 127, 16)
(14134, 1, 127, -15, 21)
(14135, 2, -16, 127, 21)
(14136, 1, 127, -19, 26)
(14137, 2, -16, 127, 26)
(14138, 1, 127, -19, 11)
(14139, 2, -9, 127, 11)
(14140, 1, 127, -12, 16)
(14141, 2, -12, 127, 16)
