(11543, 2, -25, 127, 16)
(11544, 1, 127, -28, 21)
(11545, 2, -30, 127, 21)
(11546, 1, 127, -32, 26)
(11547, 2, -18, 127, 26)
(11548, 1, 127, -20, 11)
(11549, 2, -26, 127, 11)
(11550, 1, 127, -29, 16)
(11551, 2, -25, 127, 16)
(11552, 1, 127, -28, 21)
(11553, 2, -30, 127, 21)
(11554, 1, 127, -32, 26)
(11555, 2, -18, 127, 26)
(11556, 1, 127, -19, 11)
(11557, 2, -26, 127, 11)
(11558, 1, 127, -29, 16)
(11559, 2, -25, 127, 16)
(11560, 1, 127, -28, 21)
(11561, 2, -30, 127, 21)
(11562, 1, 127, -32, 26)
(11563, 2, -18, 127, 26)
(11564, 1, 127, -19, 11)
(11565, 2, -26, 127, 11)
(11566, 1, 127, -29, 16)
(11567, 2, -25, 127, 16)
(11568, 1, 127, -28, 21)
(11569, 2, -30, 127, 21)
(11570, 1, 127, -32, 26)
(11571, 2, -18, 127, 26)
(11572, 1, 127, -19, 11)
(11573, 2, -26, 127, 11)
(11574, 1, 127, -29, 16)
(11575, 2, -25, 127, 16)
(11576, 1, 127, -28, 21)
(11577, 2, -30, 127, 21)
(11578, 1, 127, -32, 26)
(11579, 2, -18, 127, 26)
(11580, 1, 127, -19, 11)
(11581, 2, -26, 127, 11)
(11582, 1, 127, -29, 16)
(11583, 2, -25, 127, 16)
(11584, 1, 127, -28, 21)
(11585, 2, -30, 127, 21)
(11586, 1, 127, -32, 26)
(11587, 2, -17, 127, 26)
(11588, 1, 127, -19, 11)
(11589, 2, -26, 127, 11)
(11590, 1, 127, -29, 16)
(11591, 2, -25, 127, 16)
(11592, 1, 127, -28, 21)
(11593, 2, -29, 127, 21)
(11594, 1, 127, -32, 26)
(11595, 2, -18, 127, 26)
(11596, 1, 127, -19, 11)
(11597, 2, -26, 127, 11)
(11598, 1, 127, -29, 16)
(11599, 2, -25, 127, 16)
(11600, 1, 127, -28, 21)
(11601, 2, -29, 127, 21)
(11602, 1, 127, -32, 26)
(11603, 2, -18, 127, 26)
(11604, 1, 127, -19, 11)
(11605, 2, -26, 127, 11)
(11606, 1, 127, -28, 16)
(11607, 2, -25, 127, 16)
(11608, 1, 127, -28, 21)
(11609, 2, -29, 127, 21)
(11610, 1, 127, -32, 26)
(11611, 2, -18, 127, 26)
(11612, 1, 127, -19, 11)
(11613, 2, -26, 127, 11)
(11614, 1, 127, -28, 16)
(11615, 2, -25, 127, 16)
(11616, 1, 127, -28, 21)
(11617, 2, -29, 127, 21)
(11618, 1, 127, -31, 26)
