1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 107 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 107 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
1 | 2 | -42 | 108 | 26
1 | 2 | -38 | 108 | 11
1 | 2 | -38 | 108 | 16
1 | 2 | -38 | 108 | 21
