(64430, 1, 127, -25, 21)
(64431, 2, -26, 127, 21)
(64432, 1, 127, -29, 26)
(64433, 2, -34, 127, 26)
(64434, 1, 127, -36, 11)
(64435, 2, -25, 127, 11)
(64436, 1, 127, -28, 16)
(64437, 2, -23, 127, 16)
(64438, 1, 127, -26, 21)
(64439, 2, -27, 127, 21)
(64440, 1, 127, -29, 26)
(64441, 2, -34, 127, 26)
(64442, 1, 127, -36, 11)
(64443, 2, -25, 127, 11)
(64444, 1, 127, -28, 16)
(64445, 2, -23, 127, 16)
(64446, 1, 127, -26, 21)
(64447, 2, -27, 127, 21)
(64448, 1, 127, -29, 26)
(64449, 2, -34, 127, 26)
(64450, 1, 127, -36, 11)
(64451, 2, -25, 127, 11)
(64452, 1, 127, -28, 16)
(64453, 2, -23, 127, 16)
(64454, 1, 127, -26, 21)
(64455, 2, -27, 127, 21)
(64456, 1, 127, -29, 26)
(64457, 2, -34, 127, 26)
(64458, 1, 127, -36, 11)
(64459, 2, -25, 127, 11)
(64460, 1, 127, -28, 16)
(64461, 2, -23, 127, 16)
(64462, 1, 127, -26, 21)
(64463, 2, -27, 127, 21)
(64464, 1, 127, -29, 26)
(64465, 2, -34, 127, 26)
(64466, 1, 127, -36, 11)
(64467, 2, -25, 127, 11)
(64468, 1, 127, -28, 16)
(64469, 2, -23, 127, 16)
(64470, 1, 127, -26, 21)
(64471, 2, -27, 127, 21)
(64472, 1, 127, -29, 26)
(64473, 2, -34, 127, 26)
(64474, 1, 127, -36, 11)
(64475, 2, -25, 127, 11)
(64476, 1, 127, -28, 16)
(64477, 2, -23, 127, 16)
(64478, 1, 127, -26, 21)
(64479, 2, -27, 127, 21)
(64480, 1, 127, -29, 26)
(64481, 2, -34, 127, 26)
(64482, 1, 127, -36, 11)
(64483, 2, -25, 127, 11)
(64484, 1, 127, -28, 16)
(64485, 2, -23, 127, 16)
(64486, 1, 127, -26, 21)
(64487, 2, -27, 127, 21)
(64488, 1, 127, -29, 26)
(64489, 2, -34, 127, 26)
(64490, 1, 127, -36, 11)
(64491, 2, -25, 127, 11)
(64492, 1, 127, -28, 16)
(64493, 2, -23, 127, 16)
(64494, 1, 127, -26, 21)
(64495, 2, -27, 127, 21)
(64496, 1, 127, -29, 26)
(64497, 2, -34, 127, 26)
(64498, 1, 127, -36, 11)
(64499, 2, -25, 127, 11)
(64500, 1, 127, -28, 16)
(64501, 2, -23, 127, 16)
(64502, 1, 127, -26, 21)
(64503, 2, -27, 127, 21)
(64504, 1, 127, -29, 26)
(64505, 2, -34, 127, 26)
(64506, 1, 127, -36, 11)
(64507, 2, -25, 127, 11)
(64508, 1, 127, -28, 16)
(64509, 2, -23, 127, 16)
(64510, 1, 127, -25, 21)
(64511, 2, -27, 127, 21)
(64512, 1, 127, -29, 26)
(64513, 2, -34, 127, 26)
(64514, 1, 127, -36, 11)
(64515, 2, -25, 127, 11)
(64516, 1, 127, -28, 16)
(64517, 2, -23, 127, 16)
(64518, 1, 127, -26, 21)
(64519, 2, -27, 127, 21)
(64520, 1, 127, -29, 26)
(64521, 2, -34, 127, 26)
(64522, 1, 127, -36, 11)
(64523, 2, -25, 127, 11)
(64524, 1, 127, -28, 16)
(64525, 2, -23, 127, 16)
(64526, 1, 127, -26, 21)
(64527, 2, -27, 127, 21)
(64528, 1, 127, -29, 26)
(64529, 2, -34, 127, 26)
(64530, 1, 127, -36, 11)
(64531, 2, -25, 127, 11)
(64532, 1, 127, -28, 16)
(64533, 2, -23, 127, 16)
