Xstep "Node 1, channel 11" "Node 1, channel 16" "Node 1, channel 21" "Node 1, channel 26" "Node 2, channel 11" "Node 2, channel 16" "Node 2, channel 21" "Node 2, channel 26"
"18 cm" -13.027118644068 -11.016977928693 -10.353075170843 -11.01537147737 -7 -7 -8.3287827076223 -9.0971039182283
"36 cm" -12.465618860511 -11 -11 -11.332460732984 -9.9980353634578 -9 -9 -10.329842931937
"72 cm" -17.909090909091 -16.822580645161 -17.906882591093 -16.935309973046 -15.155241935484 -16.161290322581 -14.225806451613 -15.577956989247
"108 cm" -21.112903225806 -21.016194331984 -20.617250673854 -20.210526315789 -18.83064516129 -18.326612903226 -17.551075268817 -17.911111111111
"180 cm" -30.088 -29.545090180361 -25.6 -27.2 -28.416 -27.07 -26.552 -30.16
"252 cm" -29.002659574468 -29.171314741036 -28.055555555556 -30.043824701195 -26.920634920635 -26.607142857143 -29.865079365079 -26.936507936508
