Xstep "Node 1, channel 11" "Node 1, channel 16" "Node 1, channel 21" "Node 1, channel 26" "Node 2, channel 11" "Node 2, channel 16" "Node 2, channel 21" "Node 2, channel 26"
"18 cm" -26.678714859438 -32.768 -26.884 -27.898395721925 -24.146881287726 -19 -23.228915662651 -22.426273458445
"36 cm" -25.431297709924 -25.23155216285 -26.427480916031 -21.908396946565 -23.919847328244 -24.982188295165 -23.486641221374 -26.839694656489
"72 cm" -25.050666666667 -24.551102204409 -28.12 -24.06 -20.647058823529 -21.977911646586 -17.903225806452 -20.971887550201
"108 cm" -27.488461538462 -30 -27.616966580977 -25.969111969112 -27.346153846154 -25.957692307692 -23.501285347044 -23.127413127413
"180 cm" -34.280769230769 -32.115384615385 -35.123076923077 -40.492307692308 -25.311538461538 -30.687179487179 -32.562620423892 -26.015384615385
"252 cm" -39.306451612903 -35.836461126005 -35.142570281124 -37.064516129032 -32.632 -31.754666666667 -32.323293172691 -39.232
