(42690, 1, 127, -13, 11)
(42691, 2, -7, 127, 11)
(42692, 1, 127, -9, 16)
(42693, 2, -7, 127, 16)
(42694, 1, 127, -9, 21)
(42695, 2, -11, 127, 21)
(42696, 1, 127, -13, 26)
(42697, 2, -11, 127, 26)
(42698, 1, 127, -13, 11)
(42699, 2, -7, 127, 11)
(42700, 1, 127, -9, 16)
(42701, 2, -7, 127, 16)
(42702, 1, 127, -9, 21)
(42703, 2, -11, 127, 21)
(42704, 1, 127, -13, 26)
(42705, 2, -11, 127, 26)
(42706, 1, 127, -13, 11)
(42707, 2, -7, 127, 11)
(42708, 1, 127, -9, 16)
(42709, 2, -7, 127, 16)
(42710, 1, 127, -9, 21)
(42711, 2, -11, 127, 21)
(42712, 1, 127, -13, 26)
(42713, 2, -12, 127, 26)
(42714, 1, 127, -13, 11)
(42715, 2, -7, 127, 11)
(42716, 1, 127, -9, 16)
(42717, 2, -7, 127, 16)
(42718, 1, 127, -9, 21)
(42719, 2, -11, 127, 21)
(42720, 1, 127, -13, 26)
(42721, 2, -11, 127, 26)
(42722, 1, 127, -13, 11)
(42723, 2, -7, 127, 11)
(42724, 1, 127, -9, 16)
(42725, 2, -7, 127, 16)
(42726, 1, 127, -9, 21)
(42727, 2, -11, 127, 21)
(42728, 1, 127, -13, 26)
(42729, 2, -11, 127, 26)
(42730, 1, 127, -13, 11)
(42731, 2, -7, 127, 11)
(42732, 1, 127, -9, 16)
(42733, 2, -7, 127, 16)
(42734, 1, 127, -9, 21)
(42735, 2, -11, 127, 21)
(42736, 1, 127, -13, 26)
(42737, 2, -12, 127, 26)
(42738, 1, 127, -13, 11)
(42739, 2, -7, 127, 11)
(42740, 1, 127, -9, 16)
(42741, 2, -7, 127, 16)
(42742, 1, 127, -9, 21)
(42743, 2, -11, 127, 21)
(42744, 1, 127, -13, 26)
(42745, 2, -12, 127, 26)
(42746, 1, 127, -13, 11)
(42747, 2, -7, 127, 11)
(42748, 1, 127, -9, 16)
(42749, 2, -7, 127, 16)
(42750, 1, 127, -9, 21)
(42751, 2, -11, 127, 21)
(42752, 1, 127, -13, 26)
(42753, 2, -11, 127, 26)
(42754, 1, 127, -13, 11)
(42755, 2, -7, 127, 11)
(42756, 1, 127, -9, 16)
(42757, 2, -7, 127, 16)
(42758, 1, 127, -9, 21)
(42759, 2, -11, 127, 21)
(42760, 1, 127, -13, 26)
(42761, 2, -11, 127, 26)
(42762, 1, 127, -13, 11)
(42763, 2, -7, 127, 11)
(42764, 1, 127, -9, 16)
(42765, 2, -7, 127, 16)
(42766, 1, 127, -9, 21)
(42767, 2, -11, 127, 21)
(42768, 1, 127, -13, 26)
(42769, 2, -12, 127, 26)
(42770, 1, 127, -13, 11)
(42771, 2, -7, 127, 11)
(42772, 1, 127, -9, 16)
(42773, 2, -7, 127, 16)
(42774, 1, 127, -9, 21)
(42775, 2, -11, 127, 21)
(42776, 1, 127, -13, 26)
(42777, 2, -11, 127, 26)
(42778, 1, 127, -13, 11)
(42779, 2, -7, 127, 11)
(42780, 1, 127, -9, 16)
(42781, 2, -7, 127, 16)
(42782, 1, 127, -9, 21)
(42783, 2, -11, 127, 21)
(42784, 1, 127, -13, 26)
(42785, 2, -11, 127, 26)
(42786, 1, 127, -13, 11)
(42787, 2, -7, 127, 11)
(42788, 1, 127, -9, 16)
(42789, 2, -7, 127, 16)
(42790, 1, 127, -9, 21)
(42791, 2, -11, 127, 21)
(42792, 1, 127, -13, 26)
(42793, 2, -11, 127, 26)
(42794, 1, 127, -13, 11)
(42795, 2, -7, 127, 11)
(42796, 1, 127, -9, 16)
(42797, 2, -7, 127, 16)
(42798, 1, 127, -9, 21)
(42799, 2, -11, 127, 21)
(42800, 1, 127, -13, 26)
(42801, 2, -11, 127, 26)
(42802, 1, 127, -13, 11)
(42803, 2, -7, 127, 11)
(42804, 1, 127, -9, 16)
(42805, 2, -7, 127, 16)
(42806, 1, 127, -9, 21)
(42807, 2, -11, 127, 21)
(42808, 1, 127, -13, 26)
(42809, 2, -11, 127, 26)
(42810, 1, 127, -13, 11)
(42811, 2, -7, 127, 11)
(42812, 1, 127, -9, 16)
(42813, 2, -7, 127, 16)
(42815, 2, -11, 127, 21)
(42816, 1, 127, -13, 26)
(42817, 2, -11, 127, 26)
(42818, 1, 127, -13, 11)
(42819, 2, -7, 127, 11)
(42820, 1, 127, -9, 16)
(42821, 2, -7, 127, 16)
(42822, 1, 127, -9, 21)
(42823, 2, -11, 127, 21)
(42824, 1, 127, -13, 26)
(42825, 2, -11, 127, 26)
(42826, 1, 127, -13, 11)
(42827, 2, -7, 127, 11)
(42828, 1, 127, -9, 16)
(42829, 2, -7, 127, 16)
(42830, 1, 127, -9, 21)
(42831, 2, -11, 127, 21)
(42832, 1, 127, -13, 26)
(42833, 2, -11, 127, 26)
(42834, 1, 127, -13, 11)
(42835, 2, -7, 127, 11)
(42836, 1, 127, -9, 16)
(42837, 2, -7, 127, 16)
(42838, 1, 127, -9, 21)
(42839, 2, -11, 127, 21)
(42840, 1, 127, -13, 26)
(42841, 2, -11, 127, 26)
(42842, 1, 127, -13, 11)
(42843, 2, -7, 127, 11)
(42844, 1, 127, -9, 16)
(42845, 2, -7, 127, 16)
(42846, 1, 127, -9, 21)
(42847, 2, -11, 127, 21)
(42848, 1, 127, -13, 26)
(42849, 2, -11, 127, 26)
(42850, 1, 127, -13, 11)
(42851, 2, -7, 127, 11)
(42852, 1, 127, -9, 16)
(42853, 2, -7, 127, 16)
(42854, 1, 127, -9, 21)
(42855, 2, -11, 127, 21)
(42856, 1, 127, -13, 26)
(42857, 2, -11, 127, 26)
(42858, 1, 127, -13, 11)
(42859, 2, -7, 127, 11)
(42860, 1, 127, -9, 16)
(42861, 2, -7, 127, 16)
(42863, 2, -11, 127, 21)
(42864, 1, 127, -13, 26)
(42865, 2, -11, 127, 26)
(42866, 1, 127, -13, 11)
(42867, 2, -7, 127, 11)
(42868, 1, 127, -9, 16)
(42869, 2, -7, 127, 16)
(42870, 1, 127, -9, 21)
(42871, 2, -11, 127, 21)
(42872, 1, 127, -13, 26)
(42873, 2, -11, 127, 26)
(42874, 1, 127, -13, 11)
(42875, 2, -7, 127, 11)
(42876, 1, 127, -9, 16)
(42877, 2, -7, 127, 16)
(42878, 1, 127, -9, 21)
(42879, 2, -11, 127, 21)
(42880, 1, 127, -13, 26)
