29882, 7, -18, -23, -25, -19, -26, -15, 127, -17, 16
29886, 3, -22, -16, 127, -17, -29, -25, -28, -24, 21
35887, 4, -26, -19, -13, 127, -13, -18, -24, -23, 11
35888, 5, -30, -22, -19, -18, 127, -16, -24, -24, 11
35889, 6, -21, -21, -23, -16, -10, 127, -18, -20, 11
35890, 7, -19, -17, -25, -22, -20, -16, 127, -15, 11
35891, 8, -12, -19, -23, -21, -19, -17, -18, 127, 11
35892, 1, 127, -20, -19, -28, -29, -21, -20, -12, 16
35893, 2, -21, 127, -15, -19, -19, -19, -16, -18, 16
35894, 3, -22, -17, 127, -17, -19, -24, -28, -25, 16
35895, 4, -21, -21, -13, 127, -15, -14, -21, -19, 16
35896, 5, -27, -23, -34, -15, 127, -12, -21, -21, 16
35897, 6, -28, -20, -30, -18, -14, 127, -17, -17, 16
35898, 7, -18, -25, -31, -19, -24, -15, 127, -18, 16
35899, 8, -15, -18, -24, -26, -23, -20, -15, 127, 16
35900, 1, 127, -23, -21, -23, -27, -28, -19, -15, 21
35901, 2, -15, 127, -14, -22, -21, -19, -24, -17, 21
35902, 3, -20, -17, 127, -18, -34, -32, -34, -27, 21
35903, 4, -26, -28, -13, 127, -13, -15, -18, -24, 21
35904, 5, -30, -26, -24, -13, 127, -15, -25, -24, 21
35905, 6, -31, -18, -29, -22, -13, 127, -15, -20, 21
35906, 7, -19, -24, -29, -26, -19, -19, 127, -15, 21
35907, 8, -15, -19, -25, -22, -30, -21, -14, 127, 21
35908, 1, 127, -17, -19, -28, -30, -31, -21, -15, 26
35909, 2, -19, 127, -14, -29, -24, -16, -23, -18, 26
35910, 3, -23, -24, 127, -16, -25, -31, -31, -27, 26
35911, 4, -30, -21, -13, 127, -11, -20, -24, -20, 26
35912, 5, -27, -24, -25, -15, 127, -14, -21, -30, 26
35913, 6, -32, -29, -23, -20, -16, 127, -20, -21, 26
35914, 7, -24, -31, -41, -26, -24, -17, 127, -14, 26
35915, 8, -18, -18, -23, -25, -23, -19, -15, 127, 26
35916, 1, 127, -21, -22, -33, -27, -32, -26, -19, 11
35917, 2, -18, 127, -21, -22, -23, -28, -30, -17, 11
35918, 3, -20, -19, 127, -18, -26, -25, -44, -24, 11
35919, 4, -26, -19, -13, 127, -13, -18, -24, -23, 11
35920, 5, -30, -22, -19, -19, 127, -16, -24, -24, 11
35921, 6, -21, -21, -22, -16, -10, 127, -18, -20, 11
35922, 7, -19, -17, -25, -22, -20, -16, 127, -15, 11
35923, 8, -12, -19, -23, -21, -19, -17, -18, 127, 11
35924, 1, 127, -20, -19, -28, -29, -21, -20, -12, 16
35925, 2, -21, 127, -15, -19, -19, -19, -16, -17, 16
35926, 3, -22, -17, 127, -17, -19, -24, -28, -25, 16
35928, 5, -27, -23, -34, -15, 127, -12, -21, -21, 16
35929, 6, -28, -20, -30, -18, -14, 127, -17, -17, 16
35930, 7, -18, -25, -31, -19, -24, -15, 127, -18, 16
35931, 8, -15, -18, -24, -26, -23, -20, -15, 127, 16
35932, 1, 127, -23, -21, -23, -27, -28, -19, -15, 21
35933, 2, -15, 127, -14, -22, -21, -19, -24, -17, 21
35934, 3, -20, -17, 127, -18, -34, -32, -34, -27, 21
35935, 4, -26, -28, -13, 127, -13, -15, -18, -24, 21
35936, 5, -30, -26, -24, -13, 127, -15, -25, -24, 21
35937, 6, -31, -18, -29, -22, -13, 127, -15, -20, 21
35938, 7, -19, -24, -28, -26, -19, -19, 127, -15, 21
35939, 8, -15, -19, -25, -22, -30, -21, -14, 127, 21
35940, 1, 127, -17, -19, -28, -30, -31, -21, -15, 26
35941, 2, -19, 127, -14, -29, -24, -16, -23, -18, 26
35942, 3, -23, -24, 127, -16, -25, -31, -31, -27, 26
35943, 4, -30, -21, -13, 127, -11, -20, -24, -20, 26
35944, 5, -27, -25, -25, -15, 127, -14, -20, -30, 26
35945, 6, -32, -29, -23, -20, -16, 127, -20, -21, 26
35946, 7, -24, -31, -41, -26, -24, -17, 127, -14, 26
35947, 8, -18, -18, -22, -25, -23, -19, -15, 127, 26
35948, 1, 127, -21, -22, -33, -27, -32, -26, -19, 11
35949, 2, -18, 127, -21, -22, -23, -28, -30, -18, 11
35950, 3, -20, -19, 127, -18, -26, -25, -43, -24, 11
35951, 4, -26, -19, -13, 127, -13, -18, -24, -23, 11
35952, 5, -30, -21, -19, -19, 127, -16, -24, -24, 11
35953, 6, -21, -20, -22, -16, -10, 127, -18, -20, 11
35954, 7, -19, -17, -25, -22, -20, -16, 127, -15, 11
35955, 8, -12, -19, -23, -20, -19, -17, -18, 127, 11
35956, 1, 127, -20, -19, -29, -29, -22, -20, -12, 16
35957, 2, -21, 127, -15, -19, -19, -19, -16, -17, 16
35958, 3, -22, -17, 127, -17, -19, -24, -28, -25, 16
