9273, 6, -23, -20, -23, -19, -13, 127, -15, -16, 16
9277, 2, -15, 127, -13, -20, -18, -19, -22, -17, 21
23361, 6, -32, -18, -34, -22, -14, 127, -15, -19, 21
23362, 7, -19, -23, -36, -23, -19, -20, 127, -15, 21
23363, 8, -15, -21, -24, -21, -28, -19, -15, 127, 21
23364, 1, 127, -16, -21, -26, -32, -32, -20, -15, 26
23365, 2, -18, 127, -13, -22, -21, -17, -22, -20, 26
23366, 3, -24, -20, 127, -16, -25, -36, -39, -27, 26
23367, 4, -21, -16, -13, 127, -11, -19, -21, -19, 26
23368, 5, -29, -22, -25, -15, 127, -15, -20, -29, 26
23369, 6, -29, -29, -24, -22, -17, 127, -21, -19, 26
23370, 7, -25, -33, -28, -30, -22, -16, 127, -15, 26
23371, 8, -19, -19, -26, -22, -24, -19, -15, 127, 26
23372, 1, 127, -19, -22, -24, -29, -29, -26, -20, 11
23373, 2, -19, 127, -17, -17, -21, -28, -33, -19, 11
23374, 3, -22, -17, 127, -17, -27, -26, -31, -28, 11
23375, 4, -24, -15, -13, 127, -13, -19, -29, -21, 11
23376, 5, -32, -21, -18, -17, 127, -17, -23, -24, 11
23377, 6, -21, -24, -19, -19, -10, 127, -17, -20, 11
23378, 7, -20, -17, -21, -21, -21, -15, 127, -15, 11
23379, 8, -12, -19, -22, -21, -19, -17, -18, 127, 11
23380, 1, 127, -21, -21, -26, -31, -21, -21, -12, 16
23381, 2, -19, 127, -13, -15, -19, -22, -16, -18, 16
23382, 3, -23, -16, 127, -16, -19, -21, -23, -24, 16
23383, 4, -19, -20, -13, 127, -14, -16, -19, -19, 16
23384, 5, -29, -20, -28, -16, 127, -12, -22, -19, 16
23385, 6, -22, -20, -24, -19, -13, 127, -15, -17, 16
23386, 7, -19, -23, -24, -19, -25, -15, 127, -17, 16
23387, 8, -15, -19, -23, -24, -23, -19, -15, 127, 16
23388, 1, 127, -21, -21, -22, -29, -22, -19, -15, 21
23389, 2, -15, 127, -13, -20, -18, -19, -22, -17, 21
23390, 3, -22, -16, 127, -17, -29, -25, -27, -25, 21
23391, 4, -24, -21, -13, 127, -13, -17, -18, -22, 21
23392, 5, -33, -23, -24, -13, 127, -15, -27, -24, 21
