(64643, 2, -16, 127, 26)
(64650, 1, 127, -19, 26)
(65102, 1, 127, -18, 16)
(65103, 2, -27, 127, 16)
(65104, 1, 127, -29, 21)
(65105, 2, -19, 127, 21)
(65106, 1, 127, -21, 26)
(65107, 2, -17, 127, 26)
(65108, 1, 127, -19, 11)
(65109, 2, -15, 127, 11)
(65110, 1, 127, -18, 16)
(65111, 2, -28, 127, 16)
(65112, 1, 127, -30, 21)
(65113, 2, -19, 127, 21)
(65114, 1, 127, -21, 26)
(65115, 2, -17, 127, 26)
(65116, 1, 127, -19, 11)
(65117, 2, -15, 127, 11)
(65118, 1, 127, -18, 16)
(65119, 2, -28, 127, 16)
(65120, 1, 127, -30, 21)
(65121, 2, -19, 127, 21)
(65122, 1, 127, -21, 26)
(65123, 2, -16, 127, 26)
(65124, 1, 127, -19, 11)
(65125, 2, -15, 127, 11)
(65126, 1, 127, -18, 16)
(65127, 2, -27, 127, 16)
(65128, 1, 127, -29, 21)
(65129, 2, -19, 127, 21)
(65130, 1, 127, -21, 26)
(65131, 2, -16, 127, 26)
(65132, 1, 127, -19, 11)
(65133, 2, -15, 127, 11)
(65134, 1, 127, -18, 16)
(65135, 2, -27, 127, 16)
(65136, 1, 127, -29, 21)
(65137, 2, -19, 127, 21)
(65138, 1, 127, -21, 26)
(65139, 2, -17, 127, 26)
(65140, 1, 127, -19, 11)
(65141, 2, -15, 127, 11)
(65142, 1, 127, -18, 16)
(65143, 2, -27, 127, 16)
(65144, 1, 127, -29, 21)
(65145, 2, -19, 127, 21)
(65146, 1, 127, -21, 26)
(65147, 2, -17, 127, 26)
(65148, 1, 127, -19, 11)
(65149, 2, -16, 127, 11)
(65150, 1, 127, -19, 16)
(65151, 2, -27, 127, 16)
(65152, 1, 127, -29, 21)
(65153, 2, -19, 127, 21)
(65154, 1, 127, -21, 26)
(65155, 2, -17, 127, 26)
(65156, 1, 127, -19, 11)
(65157, 2, -16, 127, 11)
(65158, 1, 127, -18, 16)
(65159, 2, -27, 127, 16)
(65160, 1, 127, -28, 21)
(65161, 2, -19, 127, 21)
(65162, 1, 127, -21, 26)
(65163, 2, -17, 127, 26)
(65164, 1, 127, -19, 11)
(65165, 2, -16, 127, 11)
(65166, 1, 127, -18, 16)
(65167, 2, -27, 127, 16)
(65168, 1, 127, -28, 21)
(65169, 2, -19, 127, 21)
(65170, 1, 127, -21, 26)
(65171, 2, -17, 127, 26)
(65172, 1, 127, -19, 11)
(65173, 2, -16, 127, 11)
(65174, 1, 127, -19, 16)
(65175, 2, -27, 127, 16)
(65176, 1, 127, -28, 21)
(65177, 2, -19, 127, 21)
(65178, 1, 127, -21, 26)
(65179, 2, -17, 127, 26)
(65180, 1, 127, -19, 11)
(65181, 2, -15, 127, 11)
(65182, 1, 127, -18, 16)
(65183, 2, -27, 127, 16)
(65184, 1, 127, -29, 21)
(65185, 2, -19, 127, 21)
(65186, 1, 127, -21, 26)
(65187, 2, -17, 127, 26)
(65188, 1, 127, -19, 11)
(65189, 2, -15, 127, 11)
(65190, 1, 127, -18, 16)
(65191, 2, -28, 127, 16)
(65192, 1, 127, -29, 21)
(65193, 2, -19, 127, 21)
(65194, 1, 127, -21, 26)
(65195, 2, -16, 127, 26)
(65196, 1, 127, -19, 11)
(65197, 2, -15, 127, 11)
(65198, 1, 127, -18, 16)
(65199, 2, -27, 127, 16)
(65200, 1, 127, -29, 21)
(65201, 2, -19, 127, 21)
(65202, 1, 127, -21, 26)
(65203, 2, -16, 127, 26)
(65204, 1, 127, -19, 11)
(65205, 2, -15, 127, 11)
(65206, 1, 127, -18, 16)
(65207, 2, -27, 127, 16)
(65208, 1, 127, -28, 21)
(65209, 2, -19, 127, 21)
(65210, 1, 127, -21, 26)
(65211, 2, -16, 127, 26)
(65212, 1, 127, -19, 11)
(65213, 2, -15, 127, 11)
(65214, 1, 127, -18, 16)
(65215, 2, -26, 127, 16)
(65216, 1, 127, -28, 21)
(65217, 2, -19, 127, 21)
(65218, 1, 127, -21, 26)
(65219, 2, -16, 127, 26)
(65220, 1, 127, -19, 11)
(65221, 2, -15, 127, 11)
(65222, 1, 127, -18, 16)
(65223, 2, -27, 127, 16)
(65224, 1, 127, -29, 21)
(65225, 2, -19, 127, 21)
(65226, 1, 127, -21, 26)
(65227, 2, -16, 127, 26)
(65228, 1, 127, -19, 11)
(65229, 2, -15, 127, 11)
(65230, 1, 127, -18, 16)
(65231, 2, -27, 127, 16)
(65232, 1, 127, -28, 21)
(65233, 2, -19, 127, 21)
(65234, 1, 127, -21, 26)
(65235, 2, -16, 127, 26)
(65236, 1, 127, -19, 11)
(65237, 2, -15, 127, 11)
(65238, 1, 127, -18, 16)
(65239, 2, -27, 127, 16)
(65240, 1, 127, -29, 21)
(65241, 2, -19, 127, 21)
(65242, 1, 127, -21, 26)
(65243, 2, -16, 127, 26)
(65244, 1, 127, -19, 11)
(65245, 2, -15, 127, 11)
(65246, 1, 127, -18, 16)
(65247, 2, -28, 127, 16)
(65248, 1, 127, -29, 21)
(65249, 2, -19, 127, 21)
(65250, 1, 127, -21, 26)
(65251, 2, -16, 127, 26)
(65252, 1, 127, -19, 11)
(65253, 2, -15, 127, 11)
(65254, 1, 127, -18, 16)
(65255, 2, -28, 127, 16)
(65256, 1, 127, -30, 21)
(65257, 2, -19, 127, 21)
(65258, 1, 127, -21, 26)
(65259, 2, -17, 127, 26)
(65260, 1, 127, -19, 11)
(65261, 2, -15, 127, 11)
(65262, 1, 127, -18, 16)
(65263, 2, -28, 127, 16)
(65264, 1, 127, -30, 21)
(65265, 2, -19, 127, 21)
(65266, 1, 127, -21, 26)
(65267, 2, -16, 127, 26)
(65268, 1, 127, -19, 11)
(65269, 2, -15, 127, 11)
(65270, 1, 127, -18, 16)
(65271, 2, -28, 127, 16)
(65272, 1, 127, -29, 21)
(65273, 2, -19, 127, 21)
(65274, 1, 127, -21, 26)
(65275, 2, -16, 127, 26)
(65276, 1, 127, -19, 11)
(65277, 2, -15, 127, 11)
(65278, 1, 127, -18, 16)
(65279, 2, -27, 127, 16)
(65280, 1, 127, -28, 21)
(65281, 2, -19, 127, 21)
(65282, 1, 127, -21, 26)
(65283, 2, -17, 127, 26)
(65284, 1, 127, -19, 11)
(65285, 2, -15, 127, 11)
(65286, 1, 127, -18, 16)
(65287, 2, -26, 127, 16)
(65288, 1, 127, -28, 21)
(65289, 2, -19, 127, 21)
(65290, 1, 127, -21, 26)
(65291, 2, -17, 127, 26)
(65292, 1, 127, -19, 11)
(65293, 2, -16, 127, 11)
(65294, 1, 127, -19, 16)
(65295, 2, -26, 127, 16)
(65296, 1, 127, -28, 21)
(65297, 2, -19, 127, 21)
(65298, 1, 127, -21, 26)
(65299, 2, -17, 127, 26)
(65300, 1, 127, -19, 11)
(65301, 2, -16, 127, 11)
(65302, 1, 127, -19, 16)
(65303, 2, -26, 127, 16)
(65304, 1, 127, -28, 21)
(65305, 2, -19, 127, 21)
(65306, 1, 127, -21, 26)
(65307, 2, -17, 127, 26)
(65308, 1, 127, -19, 11)
(65309, 2, -16, 127, 11)
(65310, 1, 127, -18, 16)
(65311, 2, -27, 127, 16)
(65312, 1, 127, -29, 21)
(65313, 2, -19, 127, 21)
(65314, 1, 127, -21, 26)
(65315, 2, -16, 127, 26)
(65316, 1, 127, -19, 11)
(65317, 2, -15, 127, 11)
(65318, 1, 127, -18, 16)
(65319, 2, -28, 127, 16)
(65320, 1, 127, -30, 21)
(65321, 2, -19, 127, 21)
(65322, 1, 127, -21, 26)
(65323, 2, -16, 127, 26)
(65324, 1, 127, -19, 11)
(65325, 2, -15, 127, 11)
(65326, 1, 127, -18, 16)
(65327, 2, -28, 127, 16)
