50455,2,-63,127,-64,-69,127,-77,-67,-67,127,127,127,127,127,127,127,127,127,127
6759,1,127,-78,-80,-71,-73,-75,-86,-66,127,127,127,127,127,127,127,127,127,127
6780,4,-66,-72,-67,127,-68,-64,-65,-69,127,127,127,127,127,127,127,127,127,127
6781,5,-72,-72,-81,-63,127,-68,-76,-68,127,127,127,127,127,127,127,127,127,127
6765,7,-73,-74,-68,-69,-82,-75,127,-75,127,127,127,127,127,127,127,127,127,127
6766,8,-63,-69,-67,-67,-73,-69,-61,127,127,127,127,127,127,127,127,127,127,127
6795,1,127,-69,-72,-70,-73,-73,127,127,127,127,127,127,127,127,127,127,127,127
6796,2,-64,127,-64,-68,-72,-74,127,127,127,127,127,127,127,127,127,127,127,127
6801,7,-75,-80,-74,-69,-78,-71,127,127,127,127,127,127,127,127,127,127,127,127
6813,1,127,-75,-73,-77,-80,127,-76,-67,127,127,127,127,127,127,127,127,127,127
6814,2,-68,127,-66,-76,-72,-72,-72,-73,127,127,127,127,127,127,127,127,127,127
6852,4,-66,-72,-67,127,-68,-64,-66,-69,127,127,127,127,127,127,127,127,127,127
6853,5,-72,-72,-81,-63,127,-68,-76,-67,127,127,127,127,127,127,127,127,127,127
6837,7,-73,-74,-68,-69,-82,-76,127,-75,127,127,127,127,127,127,127,127,127,127
6838,8,-64,-69,-67,-67,-73,-69,-61,127,127,127,127,127,127,127,127,127,127,127
6867,1,127,-68,-72,-70,-73,-73,127,127,127,127,127,127,127,127,127,127,127,127
6940,2,-65,127,127,-67,-71,-74,-71,127,127,127,127,127,127,127,127,127,127,127
6924,4,-66,-72,127,127,-68,-65,-66,-69,127,127,127,127,127,127,127,127,127,127
6945,7,-75,-79,-74,-69,-77,-71,127,127,127,127,127,127,127,127,127,127,127,127
6946,8,-64,-69,-75,-62,-70,-78,-64,127,127,127,127,127,127,127,127,127,127,127
6957,1,127,-75,-73,-77,-80,-75,-76,-66,127,127,127,127,127,127,127,127,127,127
6996,4,-66,-72,-67,127,-68,-65,-65,-70,127,127,127,127,127,127,127,127,127,127
6999,7,-73,-73,-77,-69,-76,127,127,-69,127,127,127,127,127,127,127,127,127,127
7000,8,-66,-65,-69,-65,-68,127,-60,127,127,127,127,127,127,127,127,127,127,127
7011,1,127,-68,-72,-70,127,127,-71,-62,127,127,127,127,127,127,127,127,127,127
7012,2,-64,127,-64,-67,-72,127,-71,-68,127,127,127,127,127,127,127,127,127,127
7018,8,-64,-69,-75,-61,-70,-78,-64,127,127,127,127,127,127,127,127,127,127,127
7029,1,127,-75,-73,-77,-80,-75,-76,-66,127,127,127,127,127,127,127,127,127,127
7051,5,-76,-68,-75,-58,127,-82,-77,-78,127,127,127,127,127,127,127,127,127,127
7070,7,127,-73,127,-69,-77,127,127,-69,127,127,127,127,127,127,127,127,127,127
7071,8,127,-65,127,-65,-68,127,-60,127,127,127,127,127,127,127,127,127,127,127
7082,1,127,-68,127,-70,-73,127,-71,-62,127,127,127,127,127,127,127,127,127,127
7083,2,-64,127,127,-68,-72,127,-71,-68,127,127,127,127,127,127,127,127,127,127
