27, -39, -49, -51, -55, -58, -58, -61, -60, -77, -69, -65, -72, -64, -66, -72, -55, -64, -60, -64, -63, -56, -62, -62, -62, -62, -55, -45, -45, 11, 38, 6
0, -45, -46, -54, -62, -63, -62, -77, -68, -69, -62, -67, -66, -63, -62, -70, -61, -68, -67, -67, -70, -78, -55, -55, -67, -56, -49, -51, -41, 11, 38, 6
1, -43, -45, -47, -56, -55, -60, -58, -69, -84, -74, -75, -63, -68, -67, -68, -60, -77, -58, -58, -68, -69, -68, -71, -72, -66, -74, -62, -45, 11, 38, 6
2, -57, -53, -45, -57, -58, -61, -63, -65, -80, -72, -77, -61, -60, -67, -80, -88, -66, -62, -64, -68, -75, -68, -62, -70, -74, -62, -55, -53, 11, 38, 6
3, -59, -58, -53, -45, -52, -54, -60, -77, -76, -65, -66, -74, -58, -57, -64, -64, -66, -60, -63, -67, -65, -63, -73, -74, -68, -54, -56, -53, 11, 38, 6
10, -62, -64, -56, -56, -56, -54, -58, -57, -58, -50, -45, -54, -58, -62, -62, -70, -54, -59, -58, -56, -54, -61, -59, -55, -60, -60, -59, -62, 11, 38, 6
11, -68, -66, -61, -62, -54, -56, -56, -74, -62, -55, -54, -45, -55, -55, -57, -74, -56, -54, -59, -55, -58, -60, -59, -60, -68, -58, -74, -68, 11, 38, 6
12, -62, -65, -59, -54, -55, -55, -56, -75, -70, -62, -60, -56, -45, -53, -54, -62, -54, -53, -58, -58, -58, -60, -63, -64, -70, -69, -65, -62, 11, 38, 6
13, -62, -71, -67, -58, -58, -58, -60, -79, -64, -66, -68, -54, -54, -45, -45, -51, -56, -55, -54, -60, -60, -60, -63, -69, -80, -74, -74, -72, 11, 38, 6
15, -54, -62, -82, -62, -62, -65, -54, -68, -73, -74, -71, -70, -61, -45, -44, -45, -54, -55, -60, -57, -65, -76, -55, -61, -62, -59, -66, -58, 11, 38, 6
16, -68, -82, -66, -66, -55, -56, -60, -64, -65, -68, -60, -56, -51, -55, -53, -55, -45, -45, -50, -57, -57, -55, -77, -62, -65, -64, -62, -65, 11, 38, 6
17, -70, -63, -62, -60, -54, -61, -58, -64, -66, -73, -60, -58, -54, -55, -60, -54, -46, -45, -54, -55, -72, -62, -62, -74, -60, -58, -59, -66, 11, 38, 6
18, -67, -62, -62, -65, -71, -65, -64, -70, -61, -60, -59, -58, -58, -54, -72, -62, -53, -59, -45, -55, -58, -54, -68, -55, -59, -63, -58, -63, 11, 38, 6
19, -64, -68, -68, -65, -56, -63, -64, -64, -60, -58, -58, -57, -57, -55, -61, -58, -55, -54, -54, -45, -51, -51, -59, -58, -58, -58, -58, -54, 11, 38, 6
20, -81, -69, -68, -64, -64, -63, -64, -76, -64, -60, -56, -58, -58, -54, -58, -65, -54, -68, -58, -51, -45, -41, -60, -54, -54, -55, -55, -54, 11, 38, 6
21, -54, -75, -66, -66, -66, -68, -75, -68, -65, -64, -64, -60, -60, -59, -62, -79, -55, -62, -54, -53, -44, -45, -47, -54, -65, -59, -61, -67, 11, 38, 6
22, -50, -68, -60, -72, -62, -60, -60, -59, -64, -59, -54, -56, -60, -58, -60, -58, -74, -56, -64, -58, -57, -43, -45, -45, -48, -44, -53, -55, 11, 38, 6
23, -61, -81, -70, -68, -58, -58, -61, -61, -58, -62, -60, -58, -63, -67, -63, -62, -62, -71, -58, -55, -59, -58, -47, -45, -49, -51, -57, -60, 11, 38, 6
24, -53, -64, -75, -63, -61, -57, -56, -60, -57, -62, -63, -66, -68, -76, -67, -63, -64, -59, -55, -55, -56, -64, -49, -50, -45, -49, -48, -59, 11, 38, 6
25, -45, -76, -58, -60, -60, -61, -58, -65, -59, -55, -55, -58, -64, -76, -69, -60, -61, -56, -59, -59, -55, -58, -45, -49, -47, -45, -53, -59, 11, 38, 6
26, -47, -69, -53, -58, -54, -54, -60, -62, -62, -58, -62, -72, -67, -75, -70, -64, -61, -59, -54, -57, -56, -60, -55, -54, -53, -53, -45, -45, 11, 38, 7
27, -39, -47, -51, -56, -55, -57, -58, -60, -62, -59, -68, -68, -62, -68, -67, -59, -64, -64, -62, -60, -61, -66, -60, -60, -62, -54, -46, -45, 11, 38, 7
0, -45, -50, -59, -64, -66, -62, -69, -63, -62, -62, -68, -66, -66, -61, -74, -60, -70, -71, -66, -67, -81, -56, -55, -63, -55, -50, -47, -41, 11, 38, 7
1, -43, -45, -47, -55, -54, -62, -58, -65, -81, -72, -66, -62, -63, -69, -69, -62, -80, -58, -58, -68, -71, -72, -66, -81, -63, -74, -68, -45, 11, 38, 7
2, -55, -53, -45, -56, -58, -62, -63, -64, -74, -74, -63, -62, -60, -68, -82, -85, -68, -62, -64, -72, -72, -66, -66, -74, -78, -61, -54, -53, 11, 38, 7
3, -59, -57, -54, -45, -53, -55, -62, -68, -71, -60, -60, -61, -58, -58, -64, -62, -65, -58, -64, -66, -66, -64, -74, -69, -63, -62, -56, -55, 11, 38, 7
4, -60, -55, -55, -52, -45, -45, -56, -58, -64, -58, -55, -55, -53, -56, -62, -61, -59, -56, -69, -56, -64, -62, -63, -58, -59, -60, -53, -53, 11, 38, 7
5, -63, -68, -62, -61, -50, -45, -56, -61, -61, -54, -58, -54, -60, -60, -63, -69, -61, -63, -68, -67, -68, -70, -68, -62, -62, -66, -59, -58, 11, 38, 7
6, -68, -59, -62, -63, -54, -58, -45, -45, -49, -49, -58, -58, -58, -60, -58, -60, -61, -58, -64, -66, -67, -74, -64, -63, -54, -62, -60, -59, 11, 38, 7
7, -62, -68, -62, -70, -62, -59, -44, -45, -51, -60, -62, -74, -75, -79, -70, -70, -64, -64, -70, -64, -76, -68, -62, -62, -61, -69, -61, -60, 11, 38, 7
8, -61, -82, -74, -74, -68, -59, -49, -51, -45, -58, -58, -62, -69, -64, -65, -74, -65, -65, -60, -64, -67, -66, -67, -60, -60, -61, -64, -64, 11, 38, 7
9, -60, -75, -68, -62, -55, -48, -46, -58, -55, -45, -51, -54, -61, -66, -62, -76, -67, -71, -59, -55, -62, -64, -62, -62, -61, -60, -60, -60, 11, 38, 7
10, -63, -65, -57, -58, -56, -53, -58, -59, -58, -50, -45, -54, -54, -65, -62, -68, -55, -59, -59, -56, -55, -63, -58, -54, -61, -58, -56, -64, 11, 38, 7
11, -66, -66, -61, -62, -54, -57, -58, -75, -61, -56, -54, -45, -54, -54, -57, -74, -59, -54, -56, -55, -58, -60, -56, -60, -67, -58, -68, -66, 11, 38, 7
12, -62, -64, -59, -54, -56, -58, -58, -74, -69, -60, -60, -55, -45, -54, -54, -62, -53, -53, -58, -55, -58, -60, -64, -63, -67, -68, -65, -62, 11, 38, 7
13, -61, -70, -68, -56, -55, -56, -60, -81, -65, -70, -68, -54, -51, -45, -45, -51, -56, -55, -55, -60, -60, -59, -62, -68, -78, -77, -79, -67, 11, 38, 7
14, -68, -70, -78, -63, -62, -58, -58, -68, -63, -60, -62, -55, -57, -42, -45, -44, -51, -56, -70, -60, -60, -60, -62, -62, -64, -68, -71, -66, 11, 38, 7
15, -54, -62, -81, -62, -62, -64, -55, -67, -71, -75, -69, -69, -60, -46, -44, -45, -53, -55, -60, -58, -67, -78, -54, -62, -62, -61, -64, -59, 11, 38, 7
16, -68, -82, -66, -66, -55, -59, -60, -64, -65, -68, -60, -56, -53, -55, -53, -55, -45, -45, -53, -57, -59, -55, -78, -62, -65, -64, -62, -64, 11, 38, 7
17, -71, -63, -62, -60, -54, -61, -58, -65, -66, -74, -60, -58, -54, -55, -60, -58, -46, -45, -54, -56, -72, -63, -62, -74, -60, -56, -55, -70, 11, 38, 7
18, -66, -62, -62, -64, -72, -65, -64, -70, -60, -60, -59, -56, -56, -54, -72, -62, -53, -58, -45, -55, -60, -54, -69, -54, -59, -63, -58, -68, 11, 38, 7
19, -64, -68, -67, -64, -55, -63, -64, -62, -60, -58, -58, -58, -57, -54, -61, -58, -56, -52, -54, -45, -49, -51, -59, -58, -59, -59, -58, -58, 11, 38, 7
20, -79, -71, -66, -64, -63, -62, -64, -74, -64, -60, -55, -58, -58, -54, -58, -66, -54, -68, -55, -49, -45, -41, -58, -55, -54, -54, -54, -56, 11, 38, 7
