7, -63, -70, -64, -86, -62, -54, -45, -45, -49, -59, -63, -68, -82, -87, -76, -69, -66, -69, -82, -63, -78, -66, -63, -62, -64, -80, -63, -60, 11, 36, 28
8, -70, -78, -74, -73, -67, -60, -54, -51, -45, -56, -58, -61, -68, -65, -64, -74, -66, -67, -64, -62, -70, -67, -67, -56, -61, -62, -67, -79, 11, 36, 28
9, -58, -80, -71, -62, -64, -49, -50, -56, -55, -45, -53, -54, -70, -66, -64, -73, -64, -76, -62, -62, -72, -62, -64, -62, -62, -59, -60, -60, 11, 36, 28
10, -61, -66, -60, -59, -58, -54, -56, -60, -56, -49, -45, -53, -57, -64, -62, -72, -56, -55, -59, -55, -56, -64, -63, -58, -60, -59, -58, -63, 11, 36, 28
21, -54, -72, -66, -64, -64, -69, -70, -67, -65, -62, -68, -56, -60, -56, -62, -77, -55, -61, -54, -53, -44, -45, -47, -55, -64, -60, -60, -62, 11, 36, 28
22, -49, -70, -58, -70, -60, -63, -66, -60, -64, -60, -60, -57, -60, -58, -61, -57, -72, -58, -64, -58, -56, -43, -45, -45, -49, -44, -51, -54, 11, 36, 28
23, -65, -77, -68, -67, -55, -59, -72, -62, -58, -62, -60, -60, -62, -67, -62, -62, -60, -73, -58, -55, -60, -58, -48, -45, -49, -50, -57, -61, 11, 36, 28
24, -54, -70, -78, -70, -60, -60, -61, -64, -60, -61, -62, -78, -66, -74, -66, -64, -65, -56, -59, -54, -55, -64, -49, -50, -45, -47, -50, -68, 11, 36, 28
25, -45, -73, -55, -59, -62, -54, -58, -75, -60, -60, -54, -62, -60, -74, -66, -61, -60, -56, -61, -59, -56, -54, -45, -47, -46, -45, -45, -59, 11, 36, 28
26, -46, -63, -55, -56, -55, -56, -62, -63, -64, -60, -58, -56, -61, -69, -78, -69, -61, -59, -55, -59, -56, -60, -55, -58, -48, -51, -45, -47, 11, 36, 28
27, -39, -47, -51, -55, -58, -58, -60, -59, -78, -60, -68, -64, -76, -65, -74, -54, -62, -59, -64, -64, -56, -62, -57, -62, -68, -62, -49, -45, 11, 36, 28
0, -45, -47, -58, -61, -64, -64, -77, -64, -69, -60, -65, -64, -68, -66, -71, -61, -67, -68, -66, -70, -81, -58, -54, -67, -56, -49, -48, -41, 11, 36, 28
1, -43, -45, -47, -55, -56, -62, -58, -68, -87, -86, -65, -62, -68, -74, -68, -61, -79, -59, -58, -70, -69, -70, -71, -76, -68, -74, -60, -45, 11, 36, 28
2, -56, -53, -45, -57, -58, -56, -64, -64, -79, -70, -64, -60, -60, -71, -82, -83, -65, -62, -64, -68, -76, -68, -62, -70, -80, -62, -55, -53, 11, 36, 28
3, -58, -56, -55, -45, -51, -54, -60, -74, -76, -63, -60, -60, -59, -55, -76, -64, -66, -61, -62, -67, -63, -62, -72, -66, -68, -54, -56, -55, 11, 36, 28
