3, -55, -58, -53, -45, -53, -57, -60, -70, -65, -60, -60, -60, -58, -58, -62, -64, -66, -60, -63, -68, -63, -62, -70, -74, -65, -56, -56, -53, 10, 47, 6
4, -60, -56, -58, -51, -45, -44, -58, -61, -77, -57, -55, -55, -53, -53, -61, -62, -58, -56, -68, -54, -62, -64, -60, -59, -58, -64, -53, -55, 10, 47, 6
5, -64, -62, -60, -59, -49, -45, -54, -59, -56, -53, -54, -54, -60, -56, -62, -71, -60, -63, -68, -67, -66, -70, -64, -60, -61, -62, -54, -60, 10, 47, 6
6, -76, -58, -62, -60, -55, -56, -45, -43, -51, -47, -54, -58, -55, -55, -58, -60, -60, -58, -64, -64, -66, -74, -63, -64, -54, -60, -64, -60, 10, 47, 6
7, -62, -68, -63, -72, -64, -54, -43, -45, -50, -60, -61, -70, -74, -75, -70, -69, -64, -63, -73, -62, -72, -68, -62, -62, -62, -74, -58, -60, 10, 47, 6
8, -63, -83, -69, -66, -79, -54, -51, -53, -45, -62, -79, -65, -64, -86, -73, -75, -75, -66, -60, -64, -66, -68, -68, -60, -63, -66, -68, -60, 10, 47, 6
9, -60, -76, -70, -60, -55, -51, -47, -59, -62, -45, -54, -59, -60, -67, -63, -74, -66, -74, -59, -54, -62, -64, -63, -62, -62, -60, -61, -59, 10, 47, 6
10, -63, -64, -59, -55, -54, -53, -55, -54, -76, -48, -45, -53, -54, -61, -61, -68, -60, -56, -59, -55, -56, -63, -58, -55, -61, -58, -58, -67, 10, 47, 6
11, -66, -64, -61, -62, -54, -55, -60, -71, -64, -58, -57, -45, -55, -54, -57, -69, -59, -57, -59, -56, -56, -59, -59, -60, -68, -60, -60, -68, 10, 47, 6
12, -62, -66, -58, -54, -56, -58, -55, -74, -64, -61, -60, -55, -45, -52, -54, -63, -53, -54, -54, -59, -56, -59, -63, -64, -66, -70, -60, -63, 10, 47, 6
13, -61, -72, -70, -55, -54, -54, -56, -75, -86, -68, -64, -54, -49, -45, -41, -53, -55, -54, -54, -59, -60, -58, -62, -65, -78, -72, -68, -67, 10, 47, 6
14, -67, -68, -74, -61, -63, -55, -60, -66, -69, -62, -62, -57, -58, -39, -45, -45, -52, -59, -66, -61, -58, -59, -62, -62, -64, -67, -80, -66, 10, 47, 6
15, -59, -60, -77, -64, -63, -66, -55, -67, -72, -71, -68, -68, -64, -50, -44, -45, -54, -55, -60, -59, -66, -75, -54, -60, -62, -61, -66, -57, 10, 47, 6
16, -66, -78, -66, -68, -55, -58, -60, -63, -74, -67, -62, -56, -53, -51, -53, -55, -45, -45, -52, -56, -59, -55, -77, -62, -66, -61, -62, -64, 10, 47, 6
17, -66, -61, -61, -61, -54, -61, -58, -64, -66, -76, -62, -54, -54, -54, -60, -54, -46, -45, -58, -55, -72, -62, -60, -75, -60, -54, -58, -60, 10, 47, 6
18, -66, -62, -63, -64, -70, -64, -64, -73, -60, -60, -60, -56, -54, -57, -68, -62, -53, -58, -45, -55, -60, -54, -66, -55, -60, -62, -54, -64, 10, 47, 6
19, -66, -70, -63, -67, -55, -63, -62, -60, -61, -58, -57, -58, -54, -54, -61, -59, -55, -53, -53, -45, -49, -47, -60, -58, -55, -58, -55, -60, 10, 47, 6
20, -74, -68, -66, -62, -62, -62, -63, -69, -62, -60, -58, -57, -58, -54, -58, -65, -54, -68, -58, -50, -45, -41, -58, -54, -55, -59, -59, -54, 10, 47, 6
21, -54, -74, -66, -64, -68, -68, -73, -68, -68, -65, -64, -56, -59, -58, -61, -77, -56, -62, -55, -52, -43, -45, -46, -58, -64, -60, -59, -64, 10, 47, 6
22, -49, -74, -55, -68, -60, -58, -60, -59, -64, -61, -57, -57, -60, -58, -60, -54, -74, -54, -63, -58, -56, -43, -45, -45, -50, -44, -53, -54, 10, 47, 6
23, -66, -77, -63, -74, -54, -59, -63, -60, -58, -62, -60, -59, -63, -64, -63, -60, -61, -70, -54, -54, -56, -56, -47, -45, -49, -51, -57, -64, 10, 47, 6
24, -55, -83, -81, -66, -60, -58, -54, -60, -62, -62, -62, -66, -66, -78, -66, -63, -66, -58, -59, -56, -56, -63, -50, -52, -45, -47, -49, -64, 10, 47, 6
25, -45, -68, -58, -61, -64, -55, -54, -70, -63, -55, -59, -58, -66, -68, -67, -60, -55, -56, -59, -58, -60, -54, -46, -50, -45, -45, -45, -52, 10, 47, 6
26, -45, -62, -53, -56, -55, -55, -64, -55, -68, -61, -55, -58, -59, -66, -80, -68, -61, -56, -58, -60, -56, -58, -56, -59, -53, -51, -45, -45, 10, 47, 6
27, -39, -45, -51, -54, -57, -59, -60, -58, -58, -60, -68, -67, -63, -66, -68, -59, -64, -59, -64, -63, -59, -64, -60, -66, -64, -55, -44, -45, 10, 47, 6
0, -45, -47, -54, -60, -64, -62, -76, -64, -64, -62, -68, -68, -64, -61, -70, -60, -68, -66, -67, -70, -78, -58, -54, -70, -54, -49, -47, -41, 10, 47, 6
2, -54, -52, -45, -56, -58, -58, -62, -64, -70, -73, -63, -62, -60, -71, -77, -80, -68, -62, -64, -66, -70, -67, -62, -66, -84, -60, -52, -53, 10, 47, 6
3, -58, -59, -53, -45, -54, -57, -60, -70, -64, -60, -60, -60, -58, -59, -62, -64, -66, -60, -62, -68, -63, -62, -70, -73, -65, -56, -55, -53, 10, 47, 6
4, -60, -56, -56, -51, -45, -44, -57, -60, -77, -58, -53, -55, -53, -57, -62, -62, -59, -56, -69, -54, -62, -64, -61, -59, -58, -65, -53, -55, 10, 47, 6
5, -63, -62, -60, -56, -49, -45, -54, -59, -56, -53, -58, -54, -60, -58, -62, -71, -60, -63, -68, -66, -67, -70, -64, -60, -61, -62, -54, -60, 10, 47, 6
