5, -63, -62, -60, -59, -52, -45, -58, -60, -61, -52, -58, -54, -60, -60, -62, -70, -60, -62, -66, -66, -67, -70, -68, -61, -62, -62, -54, -60, 11, 29, 58
6, -71, -58, -61, -61, -58, -58, -45, -44, -51, -47, -55, -58, -56, -60, -58, -60, -60, -58, -64, -66, -66, -74, -63, -62, -54, -61, -64, -62, 11, 29, 58
7, -62, -67, -63, -74, -63, -56, -44, -45, -51, -61, -62, -70, -73, -82, -71, -72, -65, -64, -74, -64, -78, -68, -66, -62, -60, -79, -58, -60, 11, 29, 58
8, -61, -77, -70, -74, -67, -59, -51, -49, -45, -54, -59, -62, -70, -66, -65, -76, -66, -65, -61, -63, -67, -66, -67, -60, -60, -64, -66, -62, 11, 29, 58
9, -60, -76, -70, -60, -58, -49, -47, -60, -58, -45, -53, -58, -61, -66, -64, -73, -68, -71, -58, -54, -64, -64, -64, -62, -60, -60, -60, -58, 11, 29, 58
13, -66, -84, -66, -55, -55, -58, -59, -80, -66, -68, -71, -54, -55, -45, -45, -50, -55, -56, -55, -61, -60, -59, -63, -67, -78, -75, -70, -69, 11, 29, 58
14, -74, -72, -74, -62, -62, -55, -58, -70, -63, -61, -62, -57, -56, -42, -45, -44, -51, -58, -67, -60, -58, -59, -62, -61, -67, -67, -75, -68, 11, 29, 58
15, -57, -62, -69, -61, -61, -64, -54, -67, -73, -72, -70, -66, -57, -46, -44, -45, -53, -53, -60, -57, -64, -77, -58, -62, -62, -62, -66, -57, 11, 29, 58
16, -64, -67, -65, -68, -57, -55, -60, -63, -65, -68, -60, -55, -53, -55, -53, -55, -45, -45, -53, -56, -60, -55, -74, -61, -64, -63, -61, -60, 11, 29, 58
17, -70, -64, -62, -60, -54, -60, -55, -64, -65, -73, -60, -57, -54, -55, -60, -57, -46, -45, -54, -54, -71, -62, -60, -76, -60, -55, -55, -58, 11, 29, 58
18, -66, -63, -63, -63, -68, -64, -63, -71, -60, -59, -59, -58, -59, -58, -68, -62, -53, -59, -45, -53, -60, -59, -68, -54, -59, -62, -55, -64, 11, 29, 58
19, -63, -69, -63, -66, -56, -63, -62, -61, -60, -58, -58, -57, -58, -56, -60, -57, -55, -53, -52, -45, -49, -49, -58, -58, -55, -58, -54, -65, 11, 29, 58
20, -75, -67, -79, -62, -62, -64, -63, -75, -64, -60, -58, -58, -58, -54, -58, -64, -54, -68, -55, -50, -45, -41, -57, -54, -53, -56, -59, -57, 11, 29, 58
21, -58, -72, -65, -66, -64, -70, -75, -68, -66, -65, -64, -56, -60, -56, -61, -82, -55, -62, -54, -53, -43, -45, -46, -55, -64, -60, -60, -62, 11, 29, 58
22, -49, -76, -60, -70, -62, -60, -59, -60, -63, -60, -54, -55, -60, -60, -62, -57, -70, -54, -65, -58, -55, -43, -45, -45, -49, -45, -51, -57, 11, 29, 58
23, -64, -78, -64, -75, -56, -56, -61, -61, -58, -62, -58, -58, -64, -65, -62, -62, -60, -73, -59, -55, -56, -58, -48, -45, -51, -49, -58, -64, 11, 29, 58
24, -55, -75, -87, -68, -61, -59, -56, -60, -57, -62, -64, -65, -68, -78, -69, -63, -64, -58, -58, -56, -55, -64, -52, -51, -45, -49, -48, -71, 11, 29, 58
25, -45, -70, -71, -59, -71, -59, -60, -69, -60, -54, -58, -59, -67, -70, -66, -61, -61, -58, -58, -59, -55, -55, -45, -49, -46, -45, -45, -56, 11, 29, 58
